id,label,group,year
4be987bb-ece2-465f-8c36-6d6680882d93,4be987bb-ece2-465f-8c36-6d6680882d93,N/A,
ddd4ca58-cd6d-4b7f-a333-2ad72711dbb1,647344,61,2018
42f97386-0f5a-457c-b2f8-3dfead75eb8e,604357,61,2016
1bbcf4b3-1cc0-46fa-bffc-6a1a43ffa65e,662544,1,2021
a3521da5-78f9-4e7c-a5ac-1dca2d472c09,632060,N/A,
0cf7da63-d038-4cb3-a708-70c583465757,664631,3,2022
0f0f9036-1e44-43e0-a1a8-834f9a592485,274428,N/A,2018
81182b44-a784-44e8-9deb-443c5efb73c1,655424,63,2019
91bd0b27-7882-414f-be7d-30b3cb3ff089,661819,1,2021
a8513ef1-ca85-46bd-9ead-f615f359ba7c,673084,1,2024
894dfc97-62fd-489c-83db-9907723b729d,653506-01,N/A,2001
e5a45620-8dd3-4415-ac98-e4d51d1902eb,670277,1,2024
d1364846-9f73-4448-920c-184f981682c3,635682,62,2015
8c2d17e4-f987-4482-80e7-e315ad8b345f,664477,L,2022
c8c393bc-fe34-49b3-85b3-69758b1ebaa0,652295,3,2019
c92b3e85-7165-44bd-a717-2712cb49815d,632103,N/A,
66b228d3-9466-41a6-a26a-fd1809cade8c,658964,2,2020
25e3b167-951c-46b1-81cd-e936907864f9,670999,L,2024
49727b91-1320-4bcf-a9d8-62ab89799e08,647308,L,2018
eba2ace9-02d8-40d6-a3ea-5cb677ed4ac7,642008,U,2017
234ac1c9-b6b5-41b4-a94b-6bb30d45682d,673027,1,2024
29cfe05c-7645-493d-b287-1d5f83d3866c,652246,U,2019
1fc7fdbb-606c-4c58-8e88-0a5fab6a6894,659102,2,2020
3fc4f484-3d4d-4155-bcf0-c089419a0637,666303,3,2022
33976d29-cf4f-4a62-b0c3-46cdcad581db,664540,1,2022
5e9c366a-8f17-4f2b-b2ff-34aff4f1f592,668736,U,2023
4ee089a7-0093-4947-81b9-52da9ac4451d,649697,61,2018
80770e5c-22b5-4ca4-85ce-4b7779f48c36,661118,62,2021
3af32eb9-d8d1-4616-a320-0277bb606c89,643545,2,2017
fa5232a9-52bc-4b00-bebd-b35ea5b7c790,670765,3,2024
b0ec8efc-7d38-46c2-8b90-d03c88cdf4e6,652047,3,2018
022e6fff-b2ae-4d91-a58a-e9fbf646ab08,661819,1,2021
6f407d36-8b61-4356-8ce6-0697b3ae97f4,6f407d36-8b61-4356-8ce6-0697b3ae97f4,N/A,
8caf5fd2-22cd-4069-89e4-c1660458a4cd,663105,1,2021
4fb38418-2c5c-4153-a0ec-9d322b50139e,256072,N/A,2013
7b36445e-9c57-4a86-9163-20894979dbc4,645502,3,2017
b5d6bf05-01cc-4064-85c7-65149e456e30,629880,U,2013
2f911deb-22e6-4241-94b5-6c9c5a8af9e6,654723,61,2019
cb47fb79-8538-467f-9aef-3cc1b4c9a26d,668064,2,2023
cf036b2a-2a85-4830-9e66-1be6fd91ee07,638830,2,2016
ceb4b4d7-c5ae-4c9f-882c-cf20c6eed2e6,650198,61,2018
f5676e6a-12ca-4e3b-98e9-818c8976406b,664909,U,2022
b0b32660-f495-4f95-bc4e-b899b61283db,661613,1,2021
9d85903e-3236-493f-b68f-0e20bb3a0ab8,623946,N/A,
a132f4db-ac3b-4cb6-8269-e3365df9a89e,636175,3,2015
1a05971a-32b6-4d4e-89ce-c7a5dca3df15,647417,1,2018
4ca60ed3-4e35-4fc5-8c52-34d4e2e68fb3,667528,2,2023
a266a870-5343-4f40-94e4-71d13ce3b2bc,639066-01,N/A,2016
2a8dcfa4-9891-47a1-b894-bdff05a441a7,658058,61,2020
5469f330-c594-4a4b-b7eb-bce9d80320b8,650018,2,2018
d4dd0bc9-e1b7-4246-89d9-30e50bf3c974,665081,U,2020
59eab274-c9dd-4644-97f3-8b52df6f30d6,666125,1,2022
9616ad3f-0fb3-46a5-82c1-f75ca4196370,625251,N/A,
80850027-2cf9-4397-97bc-22ff7b14fdf3,661429,5,2021
4df4bf89-2cb6-4ea8-be35-6f97f210fc41,669676,2,2023
1843ee92-33d2-464f-b213-b82a1004f5ab,644828-01,N/A,
18f18524-5223-4de7-a43a-5eabfbc16274,270410,N/A,
1c2b7c46-90c1-49e0-afd2-0e666b40e724,658540,L,2020
6a64526a-ae8a-4811-9791-997bd33c7260,644762,1,2017
b5505877-47c7-4e31-8706-e9e164409221,655352,1,2019
a60c0932-87e5-468e-b182-12be5ac57c62,655030,3,2019
742b221c-790c-4351-8daa-51f42c94042e,647339,61,2018
e630c0f3-d0a7-4b36-b436-c9138bfbc45a,648133,U,2018
2cee96f4-2b48-48bd-b98f-c0071a1c3eea,633861,L,2014
defa6e0e-5dc1-41cf-a959-6721fecc6ed5,666546,U,2023
1c00b39c-2ecc-4b9d-96de-259ea2ba5e27,654807,L,2019
65f4ee38-e513-449b-a750-0b6323223191,666888-01,N/A,2023
f9cc2de0-bd4c-4ee3-8ca3-aef3340a2d0e,669876,1,2024
119b4919-aca1-4b57-808f-1ae3e61c8186,624670,N/A,
d000e375-fcc4-4ad7-b912-3531e6ab91e8,550631,3,2001
72156371-26c1-4023-a86c-6abc1b488c8d,649659,63,2018
a8c4f433-1035-4c9f-aa7c-ae3ccdfbda97,644565,U,2017
739f745a-9116-4d67-9cf1-1ad6cfef17a7,610007,N/A,2003
8fb16f57-d7f9-416e-9d58-5a691ff313b0,273607,N/A,2000
134e6dcc-1133-4fc4-8134-6cc907feea68,648448,1,2018
2b7aa892-d311-4c16-a656-32e6be1c17be,636681,1,2015
ce666c11-8283-49cd-970a-d27a51661e7a,661210,3,2024
8fc5c501-3a1b-46de-b61e-4fa434982f49,634291,1,2015
aa3a5ca4-1dba-4bd4-b289-907080d20ec5,657002,1,2020
dc5ac547-5b67-4e05-a93b-3e18b075c99e,627495,N/A,
70c8b2af-5adf-4dbb-9ed5-22112890e9db,652572,61,2019
e990c4b7-e1cb-419b-b51d-fc624c989465,670797,3,2024
33b80946-ce72-4caf-84f5-f341ad2d59a4,21304/2020,L,2020
dd219a1e-6512-4648-9dbf-84ff5d342fd8,632700,N/A,
2d0e6d73-a9aa-4a1a-ab94-d1ee311b90e8,664734,1,2022
d5c98dc7-5a6b-42e0-a7ef-4ef8d4b052f3,665336,L,2022
df978b0e-e815-4ee0-9248-109407090e88,641992,U,2016
30ad7815-2cef-49b9-9757-73ed8021bc99,275896,N/A,1990
e29f66db-aea7-4475-9644-5779773645be,575656,N/A,
74f2dc28-1551-4818-b637-c6d2dd596402,662878,L,2021
b4cfa6c4-63dd-4dec-89c0-9d560ff220fb,650875,U,2018
53044e23-791c-41c9-bcb1-a17af5c96559,654550,2,2019
a3fde89c-c4d4-4ff8-b192-8d4a17720b31,654248,1,2019
264a7884-7abe-401f-8667-b4e3d505390a,653929-01,U,2019
b5cb2972-eeec-4508-bf12-a9d21ef3536e,644848,2,2017
7adaef80-25ee-4adb-8cd2-61a3b1098951,640948,1,2016
