
============================================================
  FETCH CC FROM BROCARDI.IT
  2026-02-04T02:39:27.084581
  Rate limit: 3.0 req/sec
============================================================

Available codici: CC, CP, CPC, CPP, COST, CDS, CCONS, CDPR

Fetching CC...
(This will take a while due to rate limiting)

2026-02-04 02:39:27 [info     ] Crawling hierarchy             base_url=https://www.brocardi.it/codice-civile/
2026-02-04 02:39:51 [info     ] Found articles                 count=3191
  [94/3191] 1.65 art/sec | ETA: 1874s | Art. 93
  [95/3191] 1.66 art/sec | ETA: 1863s | Art. 94
  [96/3191] 1.67 art/sec | ETA: 1855s | Art. 95
  [97/3191] 1.68 art/sec | ETA: 1847s | Art. 96
  [98/3191] 1.68 art/sec | ETA: 1838s | Art. 97
  [99/3191] 1.69 art/sec | ETA: 1829s | Art. 98
  [100/3191] 1.70 art/sec | ETA: 1821s | Art. 99
  [101/3191] 1.70 art/sec | ETA: 1812s | Art. 100
  [102/3191] 1.71 art/sec | ETA: 1804s | Art. 101
  [103/3191] 1.72 art/sec | ETA: 1798s | Art. 102
  [104/3191] 1.73 art/sec | ETA: 1788s | Art. 103
  [105/3191] 1.73 art/sec | ETA: 1781s | Art. 104
  [106/3191] 1.74 art/sec | ETA: 1773s | Art. 105
  [107/3191] 1.75 art/sec | ETA: 1766s | Art. 106
  [108/3191] 1.75 art/sec | ETA: 1760s | Art. 107
  [109/3191] 1.76 art/sec | ETA: 1752s | Art. 108
  [110/3191] 1.77 art/sec | ETA: 1744s | Art. 109
  [111/3191] 1.77 art/sec | ETA: 1738s | Art. 110
  [112/3191] 1.78 art/sec | ETA: 1731s | Art. 111
  [113/3191] 1.78 art/sec | ETA: 1725s | Art. 112
  [114/3191] 1.79 art/sec | ETA: 1719s | Art. 113
  [115/3191] 1.80 art/sec | ETA: 1711s | Art. 114
  [116/3191] 1.80 art/sec | ETA: 1706s | Art. 115
  [117/3191] 1.81 art/sec | ETA: 1702s | Art. 115
  [118/3191] 1.81 art/sec | ETA: 1693s | Art. 116
  [119/3191] 1.82 art/sec | ETA: 1690s | Art. 116
  [120/3191] 1.83 art/sec | ETA: 1681s | Art. 117
  [121/3191] 1.83 art/sec | ETA: 1675s | Art. 118
  [122/3191] 1.84 art/sec | ETA: 1670s | Art. 119
  [123/3191] 1.84 art/sec | ETA: 1665s | Art. 120
  [124/3191] 1.85 art/sec | ETA: 1658s | Art. 121
  [125/3191] 1.85 art/sec | ETA: 1654s | Art. 122
  [126/3191] 1.86 art/sec | ETA: 1649s | Art. 123
  [127/3191] 1.87 art/sec | ETA: 1643s | Art. 124
  [128/3191] 1.87 art/sec | ETA: 1637s | Art. 125
  [129/3191] 1.88 art/sec | ETA: 1632s | Art. 126
  [130/3191] 1.88 art/sec | ETA: 1627s | Art. 127
  [131/3191] 1.89 art/sec | ETA: 1622s | Art. 128
  [132/3191] 1.89 art/sec | ETA: 1618s | Art. 129
  [133/3191] 1.90 art/sec | ETA: 1612s | Art. 129bis
  [134/3191] 1.90 art/sec | ETA: 1608s | Art. 130
  [135/3191] 1.91 art/sec | ETA: 1602s | Art. 131
  [136/3191] 1.91 art/sec | ETA: 1598s | Art. 132
  [137/3191] 1.92 art/sec | ETA: 1593s | Art. 133
  [138/3191] 1.92 art/sec | ETA: 1589s | Art. 134
  [139/3191] 1.93 art/sec | ETA: 1584s | Art. 135
  [140/3191] 1.93 art/sec | ETA: 1580s | Art. 136
  [141/3191] 1.94 art/sec | ETA: 1575s | Art. 137
  [142/3191] 1.94 art/sec | ETA: 1573s | Art. 138
  [143/3191] 1.95 art/sec | ETA: 1567s | Art. 139
  [144/3191] 1.95 art/sec | ETA: 1562s | Art. 140
  [145/3191] 1.95 art/sec | ETA: 1558s | Art. 141
  [146/3191] 1.96 art/sec | ETA: 1555s | Art. 142
  [147/3191] 1.96 art/sec | ETA: 1552s | Art. 143
  [148/3191] 1.97 art/sec | ETA: 1547s | Art. 143bis
  [149/3191] 1.97 art/sec | ETA: 1543s | Art. 143ter
  [150/3191] 1.98 art/sec | ETA: 1539s | Art. 144
  [151/3191] 1.98 art/sec | ETA: 1535s | Art. 145
  [152/3191] 1.98 art/sec | ETA: 1531s | Art. 146
  [153/3191] 1.99 art/sec | ETA: 1528s | Art. 147
  [154/3191] 1.99 art/sec | ETA: 1524s | Art. 148
  [155/3191] 2.00 art/sec | ETA: 1520s | Art. 149
  [156/3191] 2.00 art/sec | ETA: 1517s | Art. 150
  [157/3191] 2.00 art/sec | ETA: 1513s | Art. 151
  [158/3191] 2.01 art/sec | ETA: 1509s | Art. 152
  [159/3191] 2.01 art/sec | ETA: 1505s | Art. 153
  [160/3191] 2.02 art/sec | ETA: 1502s | Art. 154
  [161/3191] 2.02 art/sec | ETA: 1501s | Art. 155
  [162/3191] 2.02 art/sec | ETA: 1496s | Art. 155bis
  [163/3191] 2.03 art/sec | ETA: 1492s | Art. 155ter
  [164/3191] 2.03 art/sec | ETA: 1489s | Art. 155quater
  [165/3191] 2.04 art/sec | ETA: 1485s | Art. 155quinquies
  [166/3191] 2.04 art/sec | ETA: 1482s | Art. 155sexies
  [167/3191] 2.04 art/sec | ETA: 1481s | Art. 156
  [168/3191] 2.05 art/sec | ETA: 1475s | Art. 156bis
  [169/3191] 2.05 art/sec | ETA: 1472s | Art. 157
  [170/3191] 2.05 art/sec | ETA: 1470s | Art. 158
  [171/3191] 2.06 art/sec | ETA: 1466s | Art. 159
  [172/3191] 2.06 art/sec | ETA: 1463s | Art. 160
  [173/3191] 2.07 art/sec | ETA: 1460s | Art. 161
  [174/3191] 2.07 art/sec | ETA: 1458s | Art. 162
  [175/3191] 2.07 art/sec | ETA: 1455s | Art. 163
  [176/3191] 2.08 art/sec | ETA: 1451s | Art. 164
  [177/3191] 2.08 art/sec | ETA: 1450s | Art. 165
  [178/3191] 2.08 art/sec | ETA: 1445s | Art. 166
  [179/3191] 2.09 art/sec | ETA: 1443s | Art. 166bis
  [180/3191] 2.09 art/sec | ETA: 1441s | Art. 167
